Change Component Comment : Designator=F600 Old Comment=LITTELFUSE - 15403.5DRT. New Comment=LITTELFUSE - 154002.DRT.
Change component parameters: Designator = "F600"; Footprint = "LITTELFUSE - 154 OMNI-BLOK"; UniqueID = "\WMWQTXMD"
Change component parameters. Clean all parameters for all variants
Change component parameters (AddParameter): Name = "Assembly"; Value = "yes"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Blow Characteristic"; Value = "T"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Breaking Capacity Current AC"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Breaking Capacity Current DC"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Case"; Value = "154 Series"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink1Description"; Value = "Manufacturer Link"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink1URL"; Value = "http://www.littelfuse.de/products/fuse-blocks-fuseholders-and-fuse-accessories/fuse-blocks/154.aspx"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "eADM Name"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Fuse Current"; Value = "2A"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "IPC Footprint Naming"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "LITTELFUSE"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer Part Number"; Value = "154002.DRT."; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Mounting Type"; Value = "SMT"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Operating Temperature max"; Value = "125°C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Operating Temperature min"; Value = "-55°C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Voltage Rating AC"; Value = "125V"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Voltage Rating DC"; Value = "125V"; VariantName = "[No Variations]"
