Altium Designer Pick and Place Locations
T:\02_Aktivitaeten\ADT_PIOBD_CM4\AltiumDaten\PiOBD_CM4_MultiBoard_V1.1\BaseBoard\Project Outputs for CANOPi_BaseBoard\Pick Place\Pick Place for CANOPi_Baseboard(BASIC).csv

========================================================================================================================
File Design Information:

Date:       10.01.23
Time:       11:57
Revision:   Not in VersionControl
Variant:    BASIC
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"MP1","WUERTH ELEKTRONIK - 9774015360","BottomLayer","WUERTH_ELEKTRONIK_-_9774015360","33.6000","44.7000","180","WA-SMSI SMT Steel Spacer with internal Thread, OD 6mm, M3 x 1.5mm"
"J400","629105150921","BottomLayer","629105150921","74.7275","8.1750","270","Micro USB 2.0 Type AB Receptacle WR-COM, Horizontal, SMT"
"U604","SN74LVC1G27DBVR","TopLayer","DBV0006A_N","31.4000","35.9000","270","Single 3-Input Positive-NOR Gate, DBV0006A, LARGE T&R"
"P400","TE CONNECTIVITY - 2199119-3","BottomLayer","M.2_(NGFF)_Connectors","33.6000","2.9500","0","The M.2 (Next Generation Form Factor) product line is a natural transition from the Mini Card and Half Mini Card to a smaller form factor in both size and volume."
"U606","SN74LVC1G07DRYR","BottomLayer","DRY0006A_V","43.1000","41.3000","180","Single Buffer/Driver With Open-Drain Output, DRY0006A, LARGE T&R"
"R614","RES 0402 100K 1% 0W0625","TopLayer","RES_0402_[1005_Metric]_N","30.5000","43.4000","270","RC0402 series chip resistor with lead-free terminations made by thick film process"
"R613","RES 0402 100R 1% 63mW","TopLayer","RES_0402_[1005_Metric]_N","33.8000","40.1000","90","RC0402 series chip resistor with lead-free terminations made by thick film process"
"R612","RES 0402 330K 1% 0W0625","BottomLayer","RES_0402_[1005_Metric]_N","46.1000","43.3000","0","RC0402 series chip resistor with lead-free terminations made by thick film process"
"R611","RES 0402 330K 1% 0W0625","BottomLayer","RES_0402_[1005_Metric]_N","46.1000","44.3000","0","RC0402 series chip resistor with lead-free terminations made by thick film process"
"D605","INFINEON - BAT64-04","TopLayer","INFINEON_-_BAT64-04","31.7000","40.2000","270","Dual Silicon Schottky Diodes in series configuration"
"D604","RBE1VAM20ATR","BottomLayer","FP-TUMD2M-MFG","12.9000","35.6000","90","DIODE SCHOTTKY 20V 1A TUMD2M"
"C617","CAP 0603 1u -10% +10% 10V X7R","TopLayer","CAP_0603_[1608_Metric]_X080_N","35.1000","40.8000","90","SMD/SMT 0603 10V -10% +10% X7R - Multilayer Ceramic Capacitors MLCC"
"C616","CAP 0402 100n -10% +10% 6.3V X7R","BottomLayer","CAP_0402_[1005_Metric]_X050_N","42.7000","43.1000","90","SMD/SMT 0402 6.3V -10% +10% X7R - Multilayer Ceramic Capacitors MLCC"
"C615","CAP 0402 100n -10% +10% 6.3V X7R","BottomLayer","CAP_0402_[1005_Metric]_X050_N","44.7000","43.8000","90","SMD/SMT 0402 6.3V -10% +10% X7R - Multilayer Ceramic Capacitors MLCC"
"TP304","Testpad, 0.8mm x 0.8mm, round","BottomLayer","Testpad,_0.8mm_x_0.8mm,_round","39.5700","11.6700","90","Testpad, 0.8mm x 0.8mm, round"
"U303","MICROCHIP - MCP2518FD","TopLayer","SON65P300X90_HS-15N","19.0000","12.6500","90","CAN FD Controller with SPI Interface"
"U301","MICROCHIP - MCP2518FD","TopLayer","SON65P300X90_HS-15N","35.8000","12.6500","90","CAN FD Controller with SPI Interface"
"U501","OBD SOLUTIONS - STN2120","TopLayer","QFN65P800X800X100_HS-45N","50.6000","26.8500","90","The STN2120 and STN2100 are OBD to UART interpreter ICs designed to provide bi-directional, halfduplex communication with the vehicle¿s On-Board Diagnostic system (OBD-II)."
"U603","SN74LVC1G07DRYR","TopLayer","DRY0006A_V","26.9000","27.5000","0","Single Buffer/Driver With Open-Drain Output, DRY0006A, LARGE T&R"
"X500","ABM3B-16.000MHZ-B2-T","TopLayer","ABRA-ABM3B-4_V","46.3000","34.3000","180","Ceramic SMD Crystal, 16 MHz, +/- 20 ppm, 50 Ohm, -20 to 70 degC, 4-Pin SMD, RoHS, Tape and Reel"
"BT700","KEYSTONE - 1060","BottomLayer","KEYSTONE_-_1060-Footprint-1","3.0000","22.1000","270","Batterie Halter (offen) Kreisförmige Scheibe, 20,0mm 1 Zellen SMD (SMT) Tab"
"R520","RES 0402 100K 1% 0W0625","TopLayer","RES_0402_[1005_Metric]_N","44.9000","25.5500","180","RC0402 series chip resistor with lead-free terminations made by thick film process"
"R519","RES 0402 100K 1% 0W0625","TopLayer","RES_0402_[1005_Metric]_N","44.9000","24.4500","180","RC0402 series chip resistor with lead-free terminations made by thick film process"
