Altium Designer Pick and Place Locations
T:\02_Aktivitaeten\ADT_PIOBD_CM4\AltiumDaten\PiOBD_CM4_MultiBoard_V1.1\TopBoard\Project Outputs for CANOPi_TopBoard\Pick Place\Pick Place for CANOPi_Topboard(BASIC).csv

========================================================================================================================
File Design Information:

Date:       10.01.23
Time:       14:04
Revision:   Not in VersionControl
Variant:    BASIC
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"MP4","WUERTH ELEKTRONIK - 9774030151","TopLayer","WUERTH_ELEKTRONIK_-_9774030151","41.1599","-2.2001","0","WA-SMSI SMT Steel Spacer with internal Thread, OD 5.1mm, M2.5 x 3mm"
"MP3","WUERTH ELEKTRONIK - 9774030151","TopLayer","WUERTH_ELEKTRONIK_-_9774030151","8.1600","-2.2000","0","WA-SMSI SMT Steel Spacer with internal Thread, OD 5.1mm, M2.5 x 3mm"
"MP2","WUERTH ELEKTRONIK - 9774030151","TopLayer","WUERTH_ELEKTRONIK_-_9774030151","41.1599","45.7999","0","WA-SMSI SMT Steel Spacer with internal Thread, OD 5.1mm, M2.5 x 3mm"
"MP1","WUERTH ELEKTRONIK - 9774030151","TopLayer","WUERTH_ELEKTRONIK_-_9774030151","8.1599","45.7999","0","WA-SMSI SMT Steel Spacer with internal Thread, OD 5.1mm, M2.5 x 3mm"
"P100B","RASPBERRY-PI - Compute Modul 4","TopLayer","HIROSE_-_DF40HC(3.0)-100DS-0.4V","41.6600","19.3000","0","Connector Pin 101-200, Parameters from HIROSE - DF40HC(3.0)-100DS-0.4V"
"P100A","RASPBERRY-PI - Compute Modul 4","TopLayer","HIROSE_-_DF40HC(3.0)-100DS-0.4V","7.6600","19.3000","0","Connector Pin 1-100, Parameters from HIROSE - DF40HC(3.0)-100DS-0.4V"
"R115","RES 0402 1K 1% 0W0625","BottomLayer","RES_0402_[1005_Metric]_N","66.0000","12.4000","90","RC0402 series chip resistor with lead-free terminations made by thick film process"
"R114","RES 0402 1K 1% 0W0625","BottomLayer","RES_0402_[1005_Metric]_N","1.0500","35.4000","0","RC0402 series chip resistor with lead-free terminations made by thick film process"
"R113","RES 0402 1K 1% 0W0625","BottomLayer","RES_0402_[1005_Metric]_N","1.0500","36.4000","0","RC0402 series chip resistor with lead-free terminations made by thick film process"
"D100","WUERTH ELEKTRONIK - 155124RS73200","BottomLayer","WUERTH_ELEKTRONIK_-_WL-SMSW","18.8000","48.0000","180","LED, RED, Right Angle SMD 3.2*1.0mm WL-SMSW SMT Mono-color Side view Waterclear"
"U103","SN74LVC1G07DRYR","BottomLayer","DRY0006A_V","16.4000","44.2000","0","Single Buffer/Driver With Open-Drain Output, DRY0006A, LARGE T&R"
"C240","CAP 0402 100n -10% +10% 6.3V X7R","TopLayer","CAP_0402_[1005_Metric]_X050_N","55.1000","11.4000","270","SMD/SMT 0402 6.3V -10% +10% X7R - Multilayer Ceramic Capacitors MLCC"
